ID;Active;Cats;Supp. Ref.;Reference;Цена пост.;Цена;;;Наименование;Supplier
;1;import;65181;K65181;239,27;335;Bourjois;Румяна;Bourjois Румяна 'Pastel Joues' re-pack 74 тон;cosm
;1;import;41303;K41303;239,27;335;Bourjois;Румяна;Bourjois Румяна 'Pastel Joues' re-pack 85 тон;cosm
;1;import;41304;K41304;239,27;335;Bourjois;Румяна;Bourjois Румяна 'Pastel Joues' re-pack 92 тон;cosm
;1;import;49063;K49063;239,27;335;Bourjois;Румяна;Bourjois Румяна 'Pastel Joues' re-pack 95 тон;cosm
;1;import;82540;K82540;231,34;324;Bourjois;Специальные предложения;Bourjois Блеск для губ 'Effet 3D 8h' 07 тон;cosm
;1;import;83150;K83150;231,34;324;Bourjois;Специальные предложения;Bourjois Блеск для губ 'Effet 3D 8h' 50 тон;cosm
;1;import;78462;K78462;142,99;200;Bourjois;Специальные предложения;Bourjois Карандаш для век 'Khol Contour' V 75 тон;cosm
;1;import;78461;K78461;142,99;200;Bourjois;Специальные предложения;Bourjois Карандаш для век 'Khol Contour' V 77 тон;cosm
;1;import;65775;K65775;124,03;174;Bourjois;Специальные предложения;Bourjois Карандаш для макияжа глаз ' Regard Effet Duochrome' 58 тон;cosm
;1;import;52991;K52991;142,99;200;Bourjois;Специальные предложения;Bourjois Карандаш для макияжа глаз ' Regard Effet Metallise' 51 тон;cosm
;1;import;76163;K76163;142,99;200;Bourjois;Специальные предложения;Bourjois Карандаш для макияжа глаз ' Regard Effet Metallise' 78 тон;cosm
;1;import;53000;K53000;132,55;186;Bourjois;Специальные предложения;Bourjois Карандаш для макияжа глаз ' Regard paillete' 34 тон;cosm
;1;import;53001;K53001;132,55;186;Bourjois;Специальные предложения;Bourjois Карандаш для макияжа глаз ' Regard paillete' 35 тон;cosm
;1;import;76186;K76186;246,64;345;Bourjois;Специальные предложения;Bourjois Помада-блеск для губ 'MAX' 61 тон;cosm
;1;import;76189;K76189;246,64;345;Bourjois;Специальные предложения;Bourjois Помада-блеск для губ 'MAX' 64 тон;cosm
